step,loss
01347,5.8620
01348,5.8781
01349,5.8803
01350,5.8858
01351,5.8651
01352,5.8609
01353,5.8751
01354,5.8671
01355,5.8690
01356,5.8747
01357,5.8765
01358,5.8763
01359,5.8784
01360,5.8695
01361,5.8698
01362,5.8644
01363,5.8579
01364,5.8735
01365,5.8699
01366,5.8672
01367,5.8580
01368,5.8599
01369,5.8583
01370,5.8635
01371,5.8622
01372,5.8781
01373,5.8714
01374,5.8854
01375,5.8682
01376,5.8681
01377,5.8754
01378,5.8744
01379,5.8773
01380,5.8632
01381,5.8665
01382,5.8586
01383,5.8741
01384,5.8731
01385,5.8760
01386,5.8802
01387,5.8706
01388,5.8570
01389,5.8566
01390,5.8586
01391,5.8706
01392,5.8710
01393,5.8907
01394,5.8745
01395,5.8690
01396,5.8719
01397,5.8606
01398,5.8686
01399,5.8573
01400,5.8615
01401,5.8677
01402,5.8717
01403,5.8727
01404,5.8621
01405,5.8753
01406,5.8647
01407,5.8629
01408,5.8677
01409,5.8738
01410,5.8628
01411,5.8589
01412,5.8549
01413,5.8601
01414,5.8538
01415,5.8518
01416,5.8674
01417,5.8612
01418,5.8621
01419,5.8614
01420,5.8579
01421,5.8690
01422,5.8672
01423,5.8688
01424,5.8925
01425,5.8848
01426,5.8677
01427,5.8694
01428,5.8674
01429,5.8594
01430,5.8541
01431,5.8534
01432,5.8596
01433,5.8557
01434,5.8459
01435,5.8554
01436,5.8614
01437,5.8643
01438,5.8578
01439,5.8562
01440,5.8619
01441,5.8722
01442,5.8663
01443,5.8866
01444,5.8735
01445,5.8573
01446,5.8550
01447,5.8638
01448,5.8716
01449,5.8746
01450,5.8562
01451,5.8680
01452,5.8614
01453,5.8581
01454,5.8690
01455,5.8683
01456,5.8820
01457,5.8794
01458,5.8671
01459,5.8728
01460,5.8714
01461,5.8699
01462,5.8600
01463,5.8656
01464,5.8640
01465,5.8593
01466,5.8665
01467,5.8668
01468,5.8762
01469,5.8686
01470,5.8635
01471,5.8551
01472,5.8535
01473,5.8617
01474,5.8503
01475,5.8564
01476,5.8639
01477,5.8591
01478,5.8522
01479,5.8672
01480,5.8623
01481,5.8662
01482,5.8767
01483,5.8687
01484,5.8670
01485,5.8662
01486,5.8593
01487,5.8617
01488,5.8679
01489,5.8796
01490,5.8817
01491,5.8615
01492,5.8685
01493,5.8629
01494,5.8655
01495,5.8560
01496,5.8654
01497,5.8686
01498,5.8662
01499,5.8533
01500,5.8657
01501,5.8597
01502,5.8749
01503,5.8628
01504,5.8645
01505,5.8586
01506,5.8612
01507,5.8530
01508,5.8626
01509,5.8754
01510,5.8659
